quest_id	english_title	reason
73	<TXT> No Reward	English title marker: <TXT> No Reward
108	<TXT> Mystery Reward	
137	<NYI> <TXT> Stormwind Commendation	
242	<UNUSED>	English title marker: <UNUSED>
259	<UNUSED>	
260	<UNUSED>	English title marker: <UNUSED>
316	<UNUSED 1>	
326	<UNUSED>	English title marker: <UNUSED>
327	<UNUSED>	English title marker: <UNUSED>
352	<UNUSED>	
390	<UNUSED>	English title marker: <UNUSED>
406	<UNUSED>	
462	<UNUSED>	
490	<UNUSED>	English title marker: <UNUSED>
497	<UNUSED>	English title marker: <UNUSED>
534	<UNUSED>	English title marker: <UNUSED>
548	<NYI> <TXT> Bloodstone Pendant	
612	<UNUSED>	English title marker: <UNUSED>
636	Legends of the Earth <NYI>	English title marker: Legends of the Earth <NYI>
740	<UNUSED>	English title marker: <UNUSED>
774	<UNUSED>	
796	<UNUSED>	
797	<UNUSED>	
798	<UNUSED>	
799	<UNUSED>	
800	<UNUSED>	
801	<UNUSED>	
802	<UNUSED>	
803	<UNUSED>	
807	<UNUSED>	English title marker: <UNUSED>
810	<UNUSED>	English title marker: <UNUSED>
811	<UNUSED>	English title marker: <UNUSED>
814	<UNUSED>	English title marker: <UNUSED>
820	<UNUSED>	English title marker: <UNUSED>
839	<UNUSED>	
856	<UNUSED>	English title marker: <UNUSED>
859	<UNUSED>	English title marker: <UNUSED>
904	<UNUSED>	English title marker: <UNUSED>
946	<UNUSED>	
987	<UNUSED>	English title marker: <UNUSED>
988	<UNUSED>	English title marker: <UNUSED>
989	<UNUSED>	English title marker: <UNUSED>
1128	<NYI> The Gnome Pit Crew is Thirsty	English title marker: <NYI> The Gnome Pit Crew is Thirsty
1129	<NYI> The Goblin Pit Crew is Thirsty	English title marker: <NYI> The Goblin Pit Crew is Thirsty
1155	<NYI> <TXT> bug crystal side quest	English title marker: <NYI> <TXT> bug crystal side quest
1156	<NYI> <TXT> speak to alchemist pestlezugg	English title marker: <NYI> <TXT> speak to alchemist pestlezugg
1157	<NYI> <TXT> pestlezugg needs items	English title marker: <NYI> <TXT> pestlezugg needs items
1158	<NYI> <TXT> speak to rabine saturna	English title marker: <NYI> <TXT> speak to rabine saturna
1161	<NYI> <TXT> gossip shade of ambermoon	English title marker: <NYI> <TXT> gossip shade of ambermoon
1162	<NYI> <TXT> speak to hamuul runetotem	English title marker: <NYI> <TXT> speak to hamuul runetotem
1163	<NYI> <TXT> speak to tyrande whisperwind	English title marker: <NYI> <TXT> speak to tyrande whisperwind
1165	<NYI> Ore for the Races	English title marker: <NYI> Ore for the Races
1277	<nyi> <TXT> The Centaur Hoofprints	English title marker: <nyi> <TXT> The Centaur Hoofprints
1278	<nyi> <TXT> The Grim Totem Clan	English title marker: <nyi> <TXT> The Grim Totem Clan
1279	<nyi> <TXT>The Centaur Hoofprints	
1280	<nyi> <TXT>The Centaur Hoofprints	
1289	<nyi> Vimes's Report	English title marker: <nyi> Vimes's Report
1290	<nyi> Investigating Mosarn	English title marker: <nyi> Investigating Mosarn
1291	<nyi> <TXT> Centaur Hoofprints	English title marker: <nyi> <TXT> Centaur Hoofprints
1292	<nyi><TXT> Centaur Hoofprints	English title marker: <nyi><TXT> Centaur Hoofprints
